location,date,new_cases,new_tests
India,2020-04-03,24,21294
India,2020-04-04,515,10705
India,2020-04-05,506,9584
India,2020-04-06,1190,11534
India,2020-04-07,533,12947
India,2020-04-08,605,13904
India,2020-04-09,809,16991
India,2020-04-10,873,16420
India,2020-04-11,848,18044
India,2020-04-12,759,16374
India,2020-04-13,1248,21806
India,2020-04-14,1034,27339
India,2020-04-15,835,29706
India,2020-04-16,1108,28357
India,2020-04-17,922,32167
India,2020-04-18,1370,37000
India,2020-04-19,1893,29463
India,2020-04-20,924,30425
India,2020-04-21,1541,35479
India,2020-04-22,1290,33412
India,2020-04-23,1707,40589
India,2020-04-24,1453,41247
India,2020-04-25,1753,38168
India,2020-04-26,1607,45352
India,2020-04-27,1561,40510
India,2020-04-28,1873,50914
India,2020-04-29,1738,54031
India,2020-04-30,1801,59437
India,2020-05-01,2394,72453
India,2020-05-02,2442,73709
India,2020-05-03,2806,70087
India,2020-05-04,3932,60783
India,2020-05-05,2963,84713
India,2020-05-06,3587,84835
India,2020-05-07,3364,80632
India,2020-05-08,3344,80375
India,2020-05-09,3113,85425
India,2020-05-10,4353,85824
India,2020-05-11,3607,64651
India,2020-05-12,3524,85891
India,2020-05-13,3763,94671
India,2020-05-14,3942,92791
India,2020-05-15,3787,92911
India,2020-05-16,4864,94325
India,2020-05-17,5050,93365
India,2020-05-18,4630,75150
India,2020-05-19,6147,101475
India,2020-05-20,5553,108121
India,2020-05-21,6198,103532
India,2020-05-22,6568,103514
India,2020-05-23,6629,115364
India,2020-05-24,7113,108623
India,2020-05-25,6414,90170
India,2020-05-26,5843,92528
India,2020-05-27,7293,116041
India,2020-05-28,7300,119976
India,2020-05-29,8105,121702
India,2020-05-30,8336,127761
India,2020-05-31,8782,125428
India,2020-06-01,7761,100180
India,2020-06-02,8821,128868
India,2020-06-03,9633,137158
India,2020-06-04,9889,139485
India,2020-06-05,9471,143661
India,2020-06-06,10438,137938
India,2020-06-07,10864,142069
India,2020-06-08,8442,108048
India,2020-06-09,10218,141682
India,2020-06-10,10459,145216
India,2020-06-11,10930,151808
India,2020-06-12,11458,150305
India,2020-06-13,11929,143737
India,2020-06-14,11502,151432
India,2020-06-15,10667,115519
India,2020-06-16,10974,146936
India,2020-06-17,12881,163187
India,2020-06-18,13586,165412
India,2020-06-19,14516,176959
India,2020-06-20,15403,189869
India,2020-06-21,14831,190730
India,2020-06-22,14933,143267
India,2020-06-23,15968,187223
India,2020-06-24,16922,215195
India,2020-06-25,17296,207871
India,2020-06-26,18552,215446
India,2020-06-27,19906,220479
India,2020-06-28,19459,231095
India,2020-06-29,18522,170560
India,2020-06-30,18641,210292
India,2020-07-01,19160,217931
India,2020-07-02,20903,229588
India,2020-07-03,22771,241576
India,2020-07-04,24850,242383
India,2020-07-05,24248,248934
India,2020-07-06,22251,180596
India,2020-07-07,22753,241430
India,2020-07-08,24879,262679
India,2020-07-09,26506,267061
India,2020-07-10,27114,283659
India,2020-07-11,28606,282511
India,2020-07-12,28732,280151
India,2020-07-13,28498,219103
India,2020-07-14,29429,286247
India,2020-07-15,32676,320161
India,2020-07-16,34975,326826
India,2020-07-17,35252,333228
India,2020-07-18,38697,361024
India,2020-07-19,40425,358127
India,2020-07-20,37132,256039
India,2020-07-21,37740,333395
India,2020-07-22,45720,343243
India,2020-07-23,49310,350823
India,2020-07-24,48916,352801
India,2020-07-25,48611,420898
India,2020-07-26,49981,442263
India,2020-07-27,44457,515472
India,2020-07-28,51596,528082
India,2020-07-29,50294,408855
India,2020-07-30,52783,446642
India,2020-07-31,61242,642588
India,2020-08-01,54735,525689
India,2020-08-02,52972,463172
India,2020-08-03,52050,381027
India,2020-08-04,52509,661892
India,2020-08-05,56282,619652
India,2020-08-06,62538,664949
India,2020-08-07,61537,639042
India,2020-08-08,64399,598778
India,2020-08-09,62064,719364
India,2020-08-10,53601,477023
India,2020-08-11,60963,698290
India,2020-08-12,66999,733449
India,2020-08-13,64553,830391
India,2020-08-14,64732,848728
India,2020-08-15,64030,868679
India,2020-08-16,57711,746608
India,2020-08-17,55018,731697
India,2020-08-18,64572,899864
India,2020-08-19,69672,801518
India,2020-08-20,68900,918470
India,2020-08-21,69876,805985
India,2020-08-22,69239,1023836
India,2020-08-23,61408,801147
India,2020-08-24,60975,609917
India,2020-08-25,57224,925383
India,2020-08-26,85687,823992
